Salary,Salary Range,yrs of experience,Available_Budget_Salary_Alignment,Available_Budget_Salary_increase,err,err_YOE,Normalize Err,Normalize Err_YOE,Total Salary increase,new Salary
75836.31333593446,82627,8,1994.7641593737485,920.0,6790.686664065535,54325.49331252428,0.48803117908501786,0.3506861528643635,2914.7641593737485,78751.07749530821
83450.0,77335,12,0.0,920.0,-6115.0,-73380.0,-0.4394711179794296,-0.4736882875438959,920.0,84370.0
76602.95027443362,78439,12,809.0093907812079,920.0,1836.0497255663795,22032.596706796554,0.13195271063949007,0.1422265331723595,1729.009390781208,78331.95966521483
77704.10828744771,76971,17,0.0,920.0,-733.1082874477142,-12462.840886611142,-0.05268682235235193,-0.0804511005384421,920.0,78624.10828744771
75851.54203225422,77934,14,1070.513523179635,920.0,2082.4579677457805,29154.411548440927,0.14966150960431876,0.18819982666572588,1990.513523179635,77842.05555543385
85826.0,76582,15,0.0,920.0,-9244.0,-138660.0,-0.664345219068168,-0.8950888246230118,920.0,86746.0
85991.0,84808,18,0.0,920.0,-1183.0,-21294.0,-0.0850195147292993,-0.13745868622185498,920.0,86911.0
85892.0,76210,16,0.0,920.0,-9682.0,-154912.0,-0.6958232811572915,-1.0,920.0,86812.0
71366.29412274827,77098,7,1473.2274906677062,920.0,5731.705877251734,40121.94114076214,0.41192464265005513,0.2589982773494767,2393.227490667706,73759.52161341597
75764.5644166804,82889,11,2877.6039902993853,920.0,7124.435583319602,78368.79141651563,0.5120169535198521,0.5058923221991558,3797.6039902993853,79562.16840697978
74310.61573258125,80959,11,2685.323893131985,920.0,6648.384267418747,73132.22694160622,0.4778042300505917,0.4720888436118972,3605.323893131985,77915.93962571323
75186.80597911836,80900,9,1888.0320409714814,920.0,5713.194020881638,51418.74618793474,0.41059423770895276,0.33192229257859135,2808.0320409714814,77994.83802008984
83666.0,75082,16,0.0,920.0,-8584.0,-137344.0,-0.6169125227694888,-0.8865936789919439,920.0,84586.0
72232.98314898652,82942,7,2752.551920982645,920.0,10709.016851013483,74963.11795709438,0.7696326423508497,0.4839077538027679,3672.551920982645,75905.53506996916
76213.10103089942,77424,13,578.0150408161841,920.0,1210.8989691005845,15741.686598307599,0.08702455007535122,0.10161696058605918,1498.015040816184,77711.1160717156
78446.0,76674,18,0.0,920.0,-1772.0,-31896.0,-0.1273496027897873,-0.20589754183020037,920.0,79366.0
77800.0,75902,15,0.0,920.0,-1898.0,-28470.0,-0.13640493571953516,-0.18378175996694898,920.0,78720.0
76460.76067831795,84787,13,3974.478205181787,920.0,8326.23932168205,108241.11118186664,0.5983878500840389,0.6987264458651792,4894.478205181787,81355.23888349974
84689.0,82529,17,0.0,920.0,-2160.0,-36720.0,-0.15523427879567753,-0.23703780210700268,920.0,85609.0
77231.4580876112,77920,11,0.0,920.0,688.5419123887987,7573.961036276785,0.04948393851401469,0.04889202280182804,920.0,78151.4580876112
77710.18629409061,77843,14,0.0,920.0,132.81370590938604,1859.3918827314046,0.009545018449548498,0.012002891207468787,920.0,78630.18629409061
