Salary,Salary Range,yrs of experience,Available_Budget_Salary_Alignment,Available_Budget_Salary_increase,err,err_YOE,Normalize Err,Normalize Err_YOE,Total Salary increase,new Salary
71039.2255091003,82627,6,1471.068677878301,780.0,11587.774490899697,69526.64694539818,0.5656729195193457,0.3401792161854363,2251.068677878301,73290.2941869786
81890.0,77335,10,0.0,780.0,-4555.0,-45550.0,-0.22235849950602243,-0.22286654078709622,780.0,82670.0
72728.1902055168,78439,10,1208.3127524591334,780.0,5710.809794483197,57108.09794483197,0.278780921375539,0.2794178757386472,1988.3127524591334,74716.50295797594
76144.10828744771,76971,15,0.0,780.0,826.8917125522858,12403.375688284286,0.04036583983690263,0.06068710063075055,780.0,76924.10828744771
70974.56236624456,77934,12,1767.0020635464105,780.0,6959.437633755442,83513.2516050653,0.3397343819204398,0.408612722175704,2547.0020635464107,73521.56442979097
84266.0,76582,13,0.0,780.0,-7684.0,-99892.0,-0.3751048760053296,-0.4887504828167863,780.0,85046.0
84431.0,84808,16,0.0,780.0,377.0,6032.0,0.018403766040344778,0.02951330349127913,780.0,85211.0
84332.0,76210,14,0.0,780.0,-8122.0,-113708.0,-0.39648643973389996,-0.5563492561980052,780.0,85112.0
67534.55862080726,77098,5,1011.7328883057013,780.0,9563.441379192736,47817.20689596368,0.46685235459738805,0.23395950583983113,1791.7328883057012,69326.29150911297
68546.74378516589,82889,9,2731.125450920352,780.0,14342.25621483411,129080.30593350698,0.7001366786962542,0.6315627061940898,3511.125450920352,72057.86923608625
67422.49258079806,80959,9,2577.6906628482097,780.0,13536.507419201938,121828.56677281744,0.6608029590089755,0.5960814763053259,3357.6906628482097,70780.18324364627
70260.23976103388,80900,7,1575.8379126177283,780.0,10639.760238966119,74478.32167276283,0.5193943187355312,0.36440671602277214,2355.8379126177283,72616.07767365161
82106.0,75082,14,0.0,780.0,-7024.0,-98336.0,-0.3428860813458401,-0.4811373030700306,780.0,82886.0
66735.3511838147,82942,5,1714.529212489345,780.0,16206.648816185305,81033.24408092652,0.791149530798687,0.3964785685416583,2494.529212489345,69229.88039630404
72567.45703318321,77424,11,1130.320447000922,780.0,4856.542966816793,53421.97263498472,0.23707872818614897,0.26138244222133833,1910.320447000922,74477.77748018413
76886.0,76674,16,0.0,780.0,-212.0,-3392.0,-0.010349067375472394,-0.01659634042480418,780.0,77666.0
76240.0,75902,13,0.0,780.0,-338.0,-4394.0,-0.016499928174102212,-0.021498915043216264,780.0,77020.0
66206.78120051278,84787,11,4324.393166560774,780.0,18580.218799487222,204382.40679435944,0.9070185670137362,1.0,5104.393166560774,71311.17436707354
83129.0,82529,15,0.0,780.0,-600.0,-9000.0,-0.029289813326808665,-0.04403510136298279,780.0,83909.0
75142.5647206127,77920,9,528.8933669984966,780.0,2777.4352793872968,24996.91751448567,0.13558426810091098,0.12230464405694404,1308.8933669984967,76451.4580876112
76150.18629409061,77843,12,0.0,780.0,1692.813705909386,20313.764470912633,0.08263699573858183,0.09939096417115513,780.0,76930.18629409061
82388.91786528876,83221,15,0.0,780.0,832.082134711236,12481.23202066854,0.04061921733044094,0.06106803524056063,780.0,83168.91786528876
81151.0,80466,4,0.0,780.0,-685.0,-2740.0,-0.03343920354810656,-0.013406241970508093,780.0,81931.0
67964.72106002983,81240,14,3932.3607645905913,780.0,13275.278939970172,185853.9051595824,0.6480507366884012,0.9093439502676002,4712.360764590591,72677.08182462041
82142.0,82771,4,0.0,780.0,629.0,2516.0,0.030705487637604414,0.012310257225473855,780.0,82922.0
